Modelo/Pérdida,Dice,Sensibilidad,Especificidad,AUC
BCE sola,0.5413293316288702,0.515574638277789,0.9656567375768659,0.8998953659112395
Dice sola,0.5629787972828966,0.6103164333607093,0.9507838591232883,0.9104297543882377
BCE + Dice (ponderada),0.4499761890837204,0.6335607575578599,0.8956822884991698,0.8728253097785368
CLAHE (DRIVE),0.21071182227745583,0.9972003293728977,0.34115255208257306,0.7101813377732649
Baseline (CHASE),0.22149335685239013,0.4698738525483445,0.796488060602275,0.7451960071754716
CLAHE (CHASE),0.17987330810122434,0.9847830028712247,0.3420348956495449,0.7030766440552045
